long,lat,H2O_elev,GWIC_ID,,,,,,,,
246291.902,288160.0277,3243.7,177966,,,,,,,,
246598.7284,287692.1022,3254.04,66012,,,,,,,,
248367.8793,288801.943,3193.8,193691,,,,,,,,
246701.7208,288141.478,3245.89,134194,,,,,,,,
249526.9575,288094.8603,3173.16,287018,,,,,,,,
250280.099,288142.0339,3166.22,67527,,,,,,,,
249811.3182,287971.4117,3176.92,163042,,,,,,,,
250474.8589,288102.5108,3169.67,67512,,,,,,,,
244945.3542,287565.0307,3293.46,287017,,,,,,,,
249116.0306,288154.6815,3193.72,166000,,,,,,,,
251132.9419,288388.2658,3162.67,151202,,,,,,,,
251345.1415,289123.5472,3146.72,131373,,,,,,,,
250951.6353,287714.563,3158.12,67465,,,,,,,,
250010.3442,288333.6782,3168.03,287328,,,,,,,,
250623.0751,287446.5392,3162.6,65972,,,,,,,,
249405.1049,288454.936,3185.13,67454,,,,,,,,
250792.2932,289748.7185,3145.65,69019,,,,,,,,
251398.2241,288216.2807,3151.51,210067,,,,,,,,
247908.3765,288608.8226,3237.32,67427,,,,,,,,
249314.073,288759.3214,3185.27,287164,,,,,,,,
248455.8549,288572.3329,3212.06,67442,,,,,,,,
251540.2526,288572.4979,3150.16,167764,,,,,,,,
250658.3457,287950.027,3160,287563,,,,,,,,
250295.0841,288291.88,3187.9,67523,,,,,,,,
250855.2524,288418.2418,3160.88,287399,,,,,,,,
248890.8358,288092.8161,3197.65,67441,,,,,,,,
245734.1206,287685.6093,3245.16,288385,,,,,,,,
245564.528,288265.5413,3256.51,288386,,,,,,,,
250253.7793,288885.7877,3165.71,67500,,,,,,,,
246552.8336,288642.0183,3248.45,287546,,,,,,,,
246399.5378,290304.7138,3365.38,227625,,,,,,,,
251283.0607,285767.3079,3141.5,261746,,,,,,,,
251312.9799,285730.8022,3151.97,287971,,,,,,,,
244946.8966,287563.3066,3300.24,289357,,,,,,,,
244877.5426,287526.4552,3301.64,289398,,,,,,,,
244874.6623,287549.4236,3303.45,289399,,,,,,,,
244874.6623,287549.4236,3301.06,289448,,,,,,,,
247316.7535,288809.081,3235.08,289449,,,,,,,,
247204.0794,288855.0481,3237.7,289720,,,,,,,,
247190.8152,288749.4539,3237.99,289718,,,,,,,,
250776.868,287770.2616,3168.51,290654,,,,,,,,
250781.6756,287765.9183,3168.22,290659,,,,,,,,
250770.3169,287759.1819,3167.84,290641,,,,,,,,
250761.6028,287767.7971,3167.89,290657,,,,,,,,
250291.1181,288002.3502,3171.11,290587,,,,,,,,
250297.058,287999.4983,3175.8,290554,,,,,,,,
250317.777,287986.0245,3164.88,290586,,,,,,,,
250273.8077,287916.8546,3174.4,290633,,,,,,,,
250280.6281,287908.5721,3171.31,290632,,,,,,,,
250258.1815,287888.853,3174.66,290589,,,,,,,,
249744.595,288803.2347,3176.95,290661,,,,,,,,
248335.381,288715.6122,3213.81,290558,,,,,,,,
248356.6181,288681.6043,3215.9,290555,,,,,,,,
248343.2361,288723.4408,3214.85,290557,,,,,,,,
248388.6519,288814.9006,3216.05,290662,,,,,,,,
248368.0474,288794.7089,3215.48,290663,,,,,,,,
246295.5914,287997.171,3263.32,290665,,,,,,,,
246293.8894,287992.1151,3258.95,290664,,,,,,,,
